"USER_ID","USER_NAME","STATUS","ORGANISATION_ID","PERSON_ID","ACTIVE_FROM","ACTIVE_TO","LAST_LOGON","LOCKOUT_TO","PASSWORD_EXPIRY","PASSWORD","LOCKOUT_REASON","LOGON_FAILURE","NOTES"
"1","usm_admin","E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"2","usm_user","E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"3","ldap_enabled","E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"4","ldap_disabled","D","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"5","ldap_locked","L","NULL","NULL","NULL","NULL","NULL","2014-05-16 11:36:01","NULL","NULL","NULL","NULL","NULL"
"6","anonymous","E","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"7","orphan","D","NULL","3","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"8","guest","D","0","4","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"9","lockout","L","0","5","NULL","NULL","NULL","2014-05-16 11:36:01","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"10","expired","E","0","6","NULL","NULL","NULL","NULL","2014-05-15 11:36:01","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"11","obsolete","E","0","7","2015-05-14 11:36:01","2014-05-15 11:36:01","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"12","current","E","0","8","2014-05-15 11:36:02","2014-05-16 11:36:02","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"13","vms_admin_com","E","2","9","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"14","vms_user_com","E","1","10","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"15","vms_admin_fra","E","3","11","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"16","vms_user_fra","E","3","12","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"17","vms_super_com","E","0","13","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"18","vms_super_fra","E","3","14","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"19","quota_man_com","E","2","15","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"20","quota_usr_com","E","1","16","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"21","quota_usr_fra","E","3","17","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"22","quota_usr_grc","E","4","18","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"23","lock_me_out","E","2","15","NULL","NULL","NULL","NULL","NULL","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"24","change_me","E","2","15","NULL","NULL","NULL","NULL","2014-05-15 11:36:01","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
"25","remind_me","E","2","15","NULL","NULL","NULL","NULL","2014-05-15 11:36:01","5f4dcc3b5aa765d61d8327deb882cf99","NULL","NULL","NULL"
